fish_id,stage,site,reef,birth_date,pelagic_larval_duration,birth_lunar_day,birth_lunar_month,birth_lunar_phase,birth_moon_first_half,birth_moon_second_half
596,settler,VOW,1,2017-03-13,45,15,1165,pleine_lune,0.780555556,1
597,settler,VOW,1,2017-03-07,48,9,1165,premier_quartier,1,0.463888889
610,settler,VMW,NA,2017-03-10,47,12,1165,premier_quartier,1,0.875
612,settler,VMW,NA,2017-03-13,44,15,1165,pleine_lune,0.780555556,1
613,settler,VMW,NA,2017-03-07,48,9,1165,premier_quartier,1,0.463888889
616,settler,VME,NA,2017-03-13,45,15,1165,pleine_lune,0.780555556,1
619,settler,VME,NA,2017-03-08,46,10,1165,premier_quartier,1,0.608333333
620,settler,VME,NA,2017-02-28,55,2,1165,nouvelle_lune,0.380555556,0
622,settler,VME,NA,2017-02-28,56,2,1165,nouvelle_lune,0.380555556,0
624,settler,VOE,54,2017-02-28,54,2,1165,nouvelle_lune,0.380555556,0
625,settler,VOE,60,2017-03-09,45,11,1165,premier_quartier,1,0.747222222
627,settler,VOE,NA,2017-03-06,51,8,1165,premier_quartier,1,0.308333333
632,settler,VOE,NA,2017-03-06,50,8,1165,premier_quartier,1,0.308333333
635,settler,VOW,NA,2017-03-11,47,13,1165,premier_quartier,1,0.994444444
641,settler,VOW,NA,2017-03-07,48,9,1165,premier_quartier,1,0.463888889
642,settler,VOW,NA,2017-03-16,41,18,1165,pleine_lune,0.45,1
643,settler,VOW,NA,2017-03-19,43,21,1165,pleine_lune,0.086111111,1
647,settler,VOE,42,2017-03-19,44,21,1165,pleine_lune,0.086111111,1
648,settler,VOE,60,2017-03-03,51,5,1165,nouvelle_lune,0.780555556,0
652,settler,VOE,NA,2017-03-16,42,18,1165,pleine_lune,0.45,1
653,settler,VOE,NA,2017-03-15,41,17,1165,pleine_lune,0.561111111,1
660,settler,VMW,NA,2017-03-17,43,19,1165,pleine_lune,0.333333333,1
662,settler,VMW,NA,2017-03-13,44,15,1165,pleine_lune,0.780555556,1
663,settler,VMW,NA,2017-03-12,45,14,1165,premier_quartier,0.891666667,1
665,settler,VMW,NA,2017-03-14,46,16,1165,pleine_lune,0.672222222,1
668,settler,VME,78,2017-03-07,50,9,1165,premier_quartier,1,0.463888889
671,settler,VME,NA,2017-03-15,43,17,1165,pleine_lune,0.561111111,1
676,settler,VME,NA,2017-03-19,44,21,1165,pleine_lune,0.086111111,1
680,settler,VME,NA,2017-03-04,57,6,1165,nouvelle_lune,0.927777778,0
682,settler,TOM,156,2017-03-09,50,11,1165,premier_quartier,1,0.747222222
687,settler,TOM,NA,2017-03-10,45,12,1165,premier_quartier,1,0.875
689,settler,TOM,NA,2017-03-10,47,12,1165,premier_quartier,1,0.875
693,settler,MOM,98,2017-03-05,53,7,1165,premier_quartier,1,0.144444444
696,settler,MOM,100,2017-03-16,43,18,1165,pleine_lune,0.45,1
697,settler,MOM,86,2017-03-11,48,13,1165,premier_quartier,1,0.994444444
698,settler,MOM,96,2017-03-14,45,16,1165,pleine_lune,0.672222222,1
704,settler,TMM,128,2017-03-10,44,12,1165,premier_quartier,1,0.875
716,settler,TMM,134,2017-03-16,45,18,1165,pleine_lune,0.45,1
717,settler,TMM,125,2017-03-06,52,8,1165,premier_quartier,1,0.308333333
